,ISIN,Code,Name,Country,Exchange,Currency,Type,ISIN.1,ExchangeCode,logo
221,US38268T1034,GPRO,"GoPro, Inc",USA,NASDAQ,USD,Common Stock,US38268T1034,US,/img/logos/US/GPRO.png
222,US3647601083,GPS,"The Gap, Inc",USA,NYSE,USD,Common Stock,US3647601083,US,/img/logos/US/GPS.png
223,US38141G1040,GS,"The Goldman Sachs Group, Inc",USA,NYSE,USD,Common Stock,US38141G1040,US,/img/logos/US/gs.png
224,US3825501014,GT,The Goodyear Tire & Rubber Company,USA,NASDAQ,USD,Common Stock,US3825501014,US,/img/logos/US/gt.png
225,US25460G5009,GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares,USA,NYSE ARCA,USD,ETF,US25460G5009,US,
226,US3848021040,GWW,"W.W. Grainger, Inc",USA,NYSE,USD,Common Stock,US3848021040,US,/img/logos/US/GWW.png
227,US4062161017,HAL,Halliburton Company,USA,NYSE,USD,Common Stock,US4062161017,US,/img/logos/US/hal.png
228,US4180561072,HAS,"Hasbro, Inc",USA,NASDAQ,USD,Common Stock,US4180561072,US,/img/logos/US/HAS.png
229,US4461501045,HBAN,Huntington Bancshares Incorporated,USA,NASDAQ,USD,Common Stock,US4461501045,US,/img/logos/US/hban.png
230,GB0005405286,HBCYF,HSBC Holdings plc,USA,PINK,USD,Common Stock,GB0005405286,US,/img/logos/US/hbcyf.png
231,US4103451021,HBI,Hanesbrands Inc,USA,NYSE,USD,Common Stock,US4103451021,US,/img/logos/US/HBI.png
232,US40412C1018,HCA,"HCA Healthcare, Inc",USA,NYSE,USD,Common Stock,US40412C1018,US,/img/logos/US/hca.png
233,US4370761029,HD,"The Home Depot, Inc",USA,NYSE,USD,Common Stock,US4370761029,US,/img/logos/US/hd.png
234,US42809H1077,HES,Hess Corporation,USA,NYSE,USD,Common Stock,US42809H1077,US,/img/logos/US/HES.png
235,FR0000052292,HESAF,Hermès International Société en commandite par actions,USA,PINK,USD,Common Stock,FR0000052292,US,/img/logos/US/HESAF.png
236,US4165151048,HIG,"The Hartford Financial Services Group, Inc",USA,NYSE,USD,Common Stock,US4165151048,US,/img/logos/US/HIG.png
237,DE0006047004,HLBZF,HeidelbergCement AG,USA,PINK,USD,Common Stock,DE0006047004,US,/img/logos/US/HLBZF.png
238,US4385161066,HON,Honeywell International Inc,USA,NASDAQ,USD,Common Stock,US4385161066,US,/img/logos/US/hon.png
239,US4234521015,HP,"Helmerich & Payne, Inc",USA,NYSE,USD,Common Stock,US4234521015,US,/img/logos/US/hp.png
240,US40434L1052,HPQ,HP Inc,USA,NYSE,USD,Common Stock,US40434L1052,US,/img/logos/US/HPQ.png
241,US0936711052,HRB,"H&R Block, Inc",USA,NYSE,USD,Common Stock,US0936711052,US,/img/logos/US/HRB.png
242,US4404521001,HRL,Hormel Foods Corporation,USA,NYSE,USD,Common Stock,US4404521001,US,/img/logos/US/HRL.png
243,US8064071025,HSIC,"Henry Schein, Inc",USA,NASDAQ,USD,Common Stock,US8064071025,US,/img/logos/US/HSIC.png
244,US44107P1049,HST,"Host Hotels & Resorts, Inc",USA,NASDAQ,USD,Common Stock,US44107P1049,US,/img/logos/US/hst.png
245,US4278661081,HSY,The Hershey Company,USA,NYSE,USD,Common Stock,US4278661081,US,/img/logos/US/HSY.PNG
246,US4448591028,HUM,Humana Inc,USA,NYSE,USD,Common Stock,US4448591028,US,/img/logos/US/HUM.png
247,US4592001014,IBM,International Business Machines Corporation,USA,NYSE,USD,Common Stock,US4592001014,US,/img/logos/US/IBM.png
248,US45866F1049,ICE,"Intercontinental Exchange, Inc",USA,NYSE,USD,Common Stock,US45866F1049,US,/img/logos/US/ICE.png
249,US45167R1041,IEX,IDEX Corporation,USA,NYSE,USD,Common Stock,US45167R1041,US,/img/logos/US/IEX.png
250,US4523271090,ILMN,"Illumina, Inc",USA,NASDAQ,USD,Common Stock,US4523271090,US,/img/logos/US/ILMN.png
251,GB0004544929,IMBBF,Imperial Brands PLC,USA,OTCQX,USD,Common Stock,GB0004544929,US,/img/logos/US/IMBBF.png
252,CA4530384086,IMO,Imperial Oil Limited,USA,NYSE MKT,USD,Common Stock,CA4530384086,US,/img/logos/US/imo.png
253,US45337C1027,INCY,Incyte Corporation,USA,NASDAQ,USD,Common Stock,US45337C1027,US,/img/logos/US/INCY.png
254,US45773H2013,INO,"Inovio Pharmaceuticals, Inc",USA,NASDAQ,USD,Common Stock,US45773H2013,US,/img/logos/US/INO.png
255,US4581401001,INTC,Intel Corporation,USA,NASDAQ,USD,Common Stock,US4581401001,US,/img/logos/US/INTC.png
256,US4612021034,INTU,Intuit Inc,USA,NASDAQ,USD,Common Stock,US4612021034,US,/img/logos/US/INTU.png
257,US4601461035,IP,International Paper Company,USA,NYSE,USD,Common Stock,US4601461035,US,/img/logos/US/ip.png
258,US4606901001,IPG,"The Interpublic Group of Companies, Inc",USA,NYSE,USD,Common Stock,US4606901001,US,/img/logos/US/IPG.png
259,FR0010331421,IPHYF,Innate Pharma S.A,USA,PINK,USD,Common Stock,FR0010331421,US,/img/logos/US/IPHYF.png
260,CA45833V1094,IPPLF,Inter Pipeline Ltd,USA,PINK,USD,Common Stock,CA45833V1094,US,/img/logos/US/IPPLF.png
261,US46284V1017,IRM,Iron Mountain Incorporated,USA,NYSE,USD,Common Stock,US46284V1017,US,/img/logos/US/IRM.png
262,FR0010291245,ISDCF,Verimatrix Société anonyme,USA,PINK,USD,Common Stock,FR0010291245,US,/img/logos/US/ISDCF.png
263,US46120E6023,ISRG,"Intuitive Surgical, Inc",USA,NASDAQ,USD,Common Stock,US46120E6023,US,/img/logos/US/ISRG.png
264,US4523081093,ITW,Illinois Tool Works Inc,USA,NYSE,USD,Common Stock,US4523081093,US,/img/logos/US/ITW.png
265,SE0000107419,IVSBF,Investor AB (publ),USA,PINK,USD,Common Stock,SE0000107419,US,/img/logos/US/IVSBF.png
266,US4456581077,JBHT,"J.B. Hunt Transport Services, Inc",USA,NASDAQ,USD,Common Stock,US4456581077,US,/img/logos/US/JBHT.png
267,US4771431016,JBLU,JetBlue Airways Corporation,USA,NASDAQ,USD,Common Stock,US4771431016,US,/img/logos/US/jblu.png
268,US4781601046,JNJ,Johnson & Johnson,USA,NYSE,USD,Common Stock,US4781601046,US,/img/logos/US/JNJ.png
269,US48203R1041,JNPR,"Juniper Networks, Inc",USA,NYSE,USD,Common Stock,US48203R1041,US,/img/logos/US/JNPR.png
270,US46625H1005,JPM,JPMorgan Chase & Co,USA,NYSE,USD,Common Stock,US46625H1005,US,/img/logos/US/JPM.png
